ID,NCS_fs1,NCS_fs2,OGM_om_sed_frac,PHY_mpb,BIV_suspfeeder
1,0.4,0.5,0.06,20,0
2,0.4,0.5,0.06,20,0
3,0.4,0.5,0.06,20,0
4,0.4,0.5,0.06,20,0
5,0.4,0.5,0.06,20,0
6,0.4,0.5,0.06,20,0
7,0.4,0.5,0.06,20,0
8,0.4,0.5,0.06,20,0
9,0.4,0.5,0.06,20,0
10,0.4,0.5,0.06,20,0
11,0.4,0.5,0.06,20,0
12,0.4,0.5,0.06,20,0
13,0.4,0.5,0.06,20,0
14,0.4,0.5,0.06,20,0
15,0.4,0.5,0.06,20,0
16,0.4,0.5,0.06,20,0
17,0.4,0.5,0.06,20,0
18,0.4,0.5,0.06,20,0
19,0.4,0.5,0.06,20,0
20,0.4,0.5,0.06,20,0
21,0.4,0.5,0.06,20,0
22,0.4,0.5,0.06,20,0
23,0.4,0.5,0.06,20,0
24,0.4,0.5,0.06,20,0
25,0.4,0.5,0.06,20,0
26,0.4,0.5,0.06,20,0
27,0.4,0.5,0.06,20,0
28,0.4,0.5,0.06,20,0
29,0.4,0.5,0.06,20,0
30,0.4,0.5,0.06,20,0
31,0.4,0.5,0.06,20,0
32,0.4,0.5,0.06,20,0
33,0.4,0.5,0.06,20,0
34,0.4,0.5,0.06,20,0
35,0.4,0.5,0.06,20,0
36,0.4,0.5,0.06,20,0
37,0.4,0.5,0.06,20,0
38,0,0.95,0.03,20,0
39,0.4,0.5,0.06,20,0
40,0.4,0.5,0.06,20,0
41,0.4,0.5,0.06,20,0
42,0.4,0.5,0.06,20,0
43,0.4,0.5,0.06,20,0
44,0.4,0.5,0.06,20,0
45,0.4,0.5,0.06,20,0
46,0.4,0.5,0.06,20,0
47,0.4,0.5,0.06,20,0
48,0,0.95,0.03,20,0
49,0,0.95,0.03,20,0
50,0.4,0.5,0.06,20,0
51,0.4,0.5,0.06,20,0
52,0.4,0.5,0.06,20,0
53,0.4,0.5,0.06,20,0
54,0.4,0.5,0.06,20,0
55,0.4,0.5,0.06,20,0
56,0.4,0.5,0.06,20,0
57,0.4,0.5,0.06,20,0
58,0.4,0.5,0.06,20,0
59,0,0.95,0.03,20,0
60,0.4,0.5,0.06,20,0
61,0,0.95,0.03,20,0
62,0,0.95,0.03,20,0
63,0,0.95,0.03,20,0
64,0.4,0.5,0.06,20,0
65,0.4,0.5,0.06,20,0
66,0.4,0.5,0.06,20,0
67,0.4,0.5,0.06,20,0
68,0.4,0.5,0.06,20,0
69,0.4,0.5,0.06,20,0
70,0.4,0.5,0.06,20,0
71,0.4,0.5,0.06,20,0
72,0.4,0.5,0.06,20,0
73,0,0.95,0.03,20,0
74,0,0.95,0.03,20,0
75,0.4,0.5,0.06,20,0
76,0,0.95,0.03,20,0
77,0,0.95,0.03,20,0
78,0,0.95,0.03,20,0
79,0,0.95,0.03,20,0
80,0.4,0.5,0.06,20,0
81,0.4,0.5,0.06,20,0
82,0.4,0.5,0.06,20,0
83,0.4,0.5,0.06,20,0
84,0.4,0.5,0.06,20,0
85,0.4,0.5,0.06,20,0
86,0.4,0.5,0.06,20,0
87,0.4,0.5,0.06,20,0
88,0.4,0.5,0.06,20,0
89,0.4,0.5,0.06,20,0
90,0.4,0.5,0.06,20,0
91,0.4,0.5,0.06,20,0
92,0,0.95,0.03,20,0
93,0,0.95,0.03,20,0
94,0,0.95,0.03,20,0
95,0,0.95,0.03,20,0
96,0,0.95,0.03,20,0
97,0,0.95,0.03,20,0
98,0,0.95,0.03,20,0
99,0,0.95,0.03,20,0
100,0,0.95,0.03,20,0
101,0,0.95,0.03,20,0
102,0.4,0.5,0.06,20,0
103,0.4,0.5,0.06,20,0
104,0.4,0.5,0.06,20,0
105,0.4,0.5,0.06,20,0
106,0.4,0.5,0.06,20,0
107,0.4,0.5,0.06,20,0
108,0.4,0.5,0.06,20,0
109,0.4,0.5,0.06,20,0
110,0.4,0.5,0.06,20,0
111,0.4,0.5,0.06,20,0
112,0.4,0.5,0.06,20,0
113,0,0.95,0.03,20,0
114,0,0.95,0.03,20,0
115,0,0.95,0.03,20,0
116,0,0.95,0.03,20,0
117,0,0.95,0.03,20,0
118,0,0.95,0.03,20,0
119,0,0.95,0.03,20,0
120,0,0.95,0.03,20,0
121,0,0.95,0.03,20,0
122,0.4,0.5,0.06,20,0
123,0.4,0.5,0.06,20,0
124,0.4,0.5,0.06,20,0
125,0.4,0.5,0.06,20,0
126,0.4,0.5,0.06,20,0
127,0.4,0.5,0.06,20,0
128,0.4,0.5,0.06,20,0
129,0.4,0.5,0.06,20,0
130,0.4,0.5,0.06,20,0
131,0.4,0.5,0.06,20,0
132,0.4,0.5,0.06,20,0
133,0.4,0.5,0.06,20,0
134,0.4,0.5,0.06,20,0
135,0.4,0.5,0.06,20,0
136,0,0.95,0.03,20,0
137,0,0.95,0.03,20,0
138,0,0.95,0.03,20,0
139,0,0.95,0.03,20,0
140,0,0.95,0.03,20,0
141,0.0409,0.95,0.03,20,0
142,0,0.95,0.03,20,0
143,0,0.95,0.03,20,0
144,0,0.95,0.03,20,0
145,0,0.95,0.03,20,0
146,0.4,0.5,0.06,20,0
147,0,0.95,0.03,20,0
148,0.4,0.5,0.06,20,0
149,0.4,0.5,0.06,20,0
150,0.4,0.5,0.06,20,0
151,0.4,0.5,0.06,20,0
152,0.4,0.5,0.06,20,0
153,0.4,0.5,0.06,20,0
154,0.4,0.5,0.06,20,0
155,0.4,0.5,0.06,20,0
156,0.4,0.5,0.06,20,0
157,0.4,0.5,0.06,20,0
158,0.4,0.5,0.06,20,0
159,0.4,0.5,0.06,20,0
160,0.4,0.5,0.06,20,0
161,0.4,0.5,0.06,20,0
162,0.4,0.5,0.06,20,0
163,0.4,0.5,0.06,20,0
164,0.4,0.5,0.06,20,0
165,0.4,0.5,0.06,20,0
166,0,0.95,0.03,20,0
167,0,0.95,0.03,20,0
168,0.4,0.5,0.06,20,0
169,0.4,0.5,0.06,20,0
170,0,0.95,0.03,20,0
171,0,0.95,0.03,20,0
172,0.1772,0.95,0.03,20,0
173,0,0.95,0.03,20,0
174,0.4,0.5,0.06,20,0
175,0.4,0.5,0.06,20,0
176,0.4,0.5,0.06,20,0
177,0,0.95,0.03,20,0
178,0.4,0.5,0.06,20,0
179,0.4,0.5,0.06,20,0
180,0.4,0.5,0.06,20,0
181,0.4,0.5,0.06,20,0
182,0.4,0.5,0.06,20,0
183,0.4,0.5,0.06,20,0
